CustomerKey,FirstName,LastName,BirthDate,EmailAddress,Occupation
11000,JON,YANG,4/8/1966,jon24@learnsector.com,Professional
11001,EUGENE,HUANG,14/05/1965,eugene10@learnsector.com,Professional
11002,RUBEN,TORRES,8/12/1965,ruben35@learnsector.com,Professional
11003,CHRISTY,ZHU,15/02/1968,christy12@learnsector.com,Professional
11004,ELIZABETH,JOHNSON,8/8/1968,elizabeth5@learnsector.com,Professional
11005,JULIO,RUIZ,8/5/1965,julio1@learnsector.com,Professional
11007,MARCO,MEHTA,5/9/1964,marco14@learnsector.com,Professional
11008,ROBIN,VERHOFF,7/7/1964,rob4@learnsector.com,Professional
11009,SHANNON,CARLSON,4/1/1964,shannon38@learnsector.com,Professional
11010,JACQUELYN,SUAREZ,2/6/1964,jacquelyn20@learnsector.com,Professional
11011,CURTIS,LU,11/4/1963,curtis9@learnsector.com,Professional
11012,LAUREN,WALKER,18/01/1968,lauren41@learnsector.com,Management
11013,IAN,JENKINS,8/6/1968,ian47@learnsector.com,Management
11014,SYDNEY,BENNETT,5/9/1968,sydney23@learnsector.com,Management
11015,CHLOE,YOUNG,27/02/1979,chloe23@learnsector.com,Skilled Manual
11016,WYATT,HILL,28/04/1979,wyatt32@learnsector.com,Skilled Manual
11017,SHANNON,WANG,26/06/1944,shannon1@learnsector.com,Skilled Manual
11018,CLARENCE,RAI,10/9/1944,clarence32@learnsector.com,Clerical
11019,LUKE,LAL,3/7/1978,luke18@learnsector.com,Skilled Manual
11020,JORDAN,KING,20/09/1978,jordan73@learnsector.com,Skilled Manual
11021,DESTINY,WILSON,9/3/1978,destiny7@learnsector.com,Skilled Manual
11022,ETHAN,ZHANG,10/12/1978,ethan20@learnsector.com,Skilled Manual
11023,SETH,EDWARDS,10/11/1978,seth46@learnsector.com,Skilled Manual
11024,RUSSELL,XIE,17/09/1978,russell7@learnsector.com,Skilled Manual
11025,ALEJANDRO,BECK,23/12/1945,alejandro45@learnsector.com,Clerical
11026,HAROLD,SAI,4/3/1946,harold3@learnsector.com,Clerical
11027,JESSIE,ZHAO,12/7/1946,jessie16@learnsector.com,Clerical
11028,JILL,JIMENEZ,4/11/1946,jill13@learnsector.com,Clerical
11029,JIMMY,MORENO,21/12/1946,jimmy9@learnsector.com,Clerical
11030,BETHANY,YUAN,22/02/1947,bethany10@learnsector.com,Clerical
11031,THERESA,RAMOS,22/08/1947,theresa13@learnsector.com,Skilled Manual
11032,DENISE,STONE,6/11/1947,denise10@learnsector.com,Skilled Manual
11033,JAIME,NATH,23/09/1947,jaime41@learnsector.com,Skilled Manual
11034,EBONY,GONZALEZ,19/06/1947,ebony19@learnsector.com,Skilled Manual
11035,WENDY,DOMINGUEZ,24/02/1948,wendy12@learnsector.com,Clerical
11036,JENNIFER,RUSSELL,18/12/1978,jennifer93@learnsector.com,Skilled Manual
11037,CHLOE,GARCIA,27/11/1977,chloe27@learnsector.com,Clerical
11038,DIANA,HERNANDEZ,23/03/1948,diana2@learnsector.com,Clerical
11039,MARC,MARTIN,17/12/1948,marc3@learnsector.com,Clerical
11040,JESSE,MURPHY,8/1/1977,jesse15@learnsector.com,Skilled Manual
11041,AMANDA,CARTER,16/10/1977,amanda53@learnsector.com,Skilled Manual
11042,MEGAN,SANCHEZ,13/06/1977,megan28@learnsector.com,Skilled Manual
11043,NATHAN,SIMMONS,24/02/1976,nathan11@learnsector.com,Skilled Manual
11044,ADAM,FLORES,24/05/1949,adam10@learnsector.com,Clerical
11045,LEONARD,NARA,19/05/1950,leonard18@learnsector.com,Skilled Manual
11046,CHRISTINE,YUAN,22/03/1950,christine4@learnsector.com,Skilled Manual
11047,JACLYN,LU,27/02/1950,jaclyn12@learnsector.com,Skilled Manual
11048,JEREMY,POWELL,22/11/1950,jeremy26@learnsector.com,Skilled Manual
11049,CAROL,RAI,18/07/1980,carol8@learnsector.com,Clerical
11050,ALAN,ZHENG,9/7/1951,alan23@learnsector.com,Skilled Manual
11051,DANIEL,JOHNSON,8/4/1951,daniel18@learnsector.com,Skilled Manual
11052,HEIDI,LOPEZ,8/7/1951,heidi19@learnsector.com,Clerical
11053,ANA,PRICE,20/08/1980,ana0@learnsector.com,Skilled Manual
11054,DEANNA,MUNOZ,3/10/1952,deanna33@learnsector.com,Skilled Manual
11055,GILBERT,RAJE,3/5/1952,gilbert35@learnsector.com,Skilled Manual
